date,Date.1,Min_F,Avg_F,Max_F,Avg1.5m_DP,Avg1.5m_RH,Avg1.5m_LWu,AvgDir,Avg_Speedmph,2m_MaxGustmph,2_in_F,Min_F.1,Avg_F.1,TotPrecin,TotalSolarRad,EToin,ETrin
2012/09/04,4,49.5,65.4,80.1,43.5,47.5,0.09,S,3.1,11,,73.9,76.5,0,22.46,0.16,0.21
2012/09/05,5,49.3,67.4,84.5,46,49.1,0.18,S,2.8,9.6,,74.1,76.7,0,22.11,0.16,0.21
2012/09/06,6,53.2,67,79.4,43.8,44.7,0.03,SW,3.3,10.3,,74.8,77.1,0,21.82,0.16,0.21
2012/09/07,7,47.9,65.9,81.8,44.3,49.5,0.2,S,3.1,11.4,,74,76.6,0,22.04,0.16,0.21
2012/09/08,8,50.6,68.5,84.6,46.8,49.1,0.22,S,2.9,9.6,,74.1,76.5,0,17.7,0.15,0.2
2012/09/09,9,56.6,66.8,79.2,46.8,51.6,0.22,SW,5.5,23.2,,75.4,77.2,0,20.86,0.18,0.26
2012/09/10,10,46.4,57.8,65.4,36.6,48.1,0.18,W,6.4,31.8,,73.6,75.3,0,21.68,0.16,0.22
2012/09/11,11,39,53.8,65.9,33.1,48.3,0.12,S,3.5,19.6,,70.6,72.9,0,21.21,0.12,0.16
2012/09/12,12,41.4,56,71.6,33.3,46,0.16,S,2.8,8.2,,69.3,71.7,0,19.7,0.13,0.17
2012/09/13,13,41.6,59,74.9,36.1,45.3,0.07,S,2.7,7.8,,68.8,71.3,0,17.99,0.13,0.17
2012/09/14,14,44.4,62.4,80.7,41.7,50.4,0.17,S,2.8,8.2,,69.1,71.5,0,17.81,0.14,0.19
2012/09/15,15,53.8,69,86.2,42.1,41.2,0.03,SW,3.4,15.3,,70.2,72.7,0,19.26,0.17,0.23
2012/09/16,16,49,65.2,81.7,40.2,43.7,0.08,S,2.6,8.2,,70.8,73.3,0,18.9,0.14,0.19
2012/09/17,17,48.1,64.6,82.3,40.4,44.6,0.07,S,2.6,10.3,,70.6,72.9,0,18.93,0.14,0.19
2012/09/18,18,48.6,64.7,82.7,44,49.3,0.12,S,2.6,7.4,,70.4,72.8,0,18.56,0.13,0.18
2012/09/19,19,49.9,67.2,86.6,44.4,46.7,0.09,S,2.7,7.4,,70.6,72.9,0,17.85,0.14,0.19
2012/09/20,20,51.1,66.9,86.5,46.4,51.1,0.16,S,2.8,7.4,,70.9,73.1,0,17.57,0.14,0.19
2012/09/21,21,50.7,66.1,84.8,46.1,52,0.2,S,2.2,6,,70.9,73,0,16.03,0.12,0.16
